#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
5000,-1418907.1203588024,277934.70343413117,-1140972.4169246713,299.72214822199146,1250.3149078209292,0
10000,-1431678.1477024397,277527.55629781814,-1154150.5914046215,299.2830846116169,1218.741364327496,49.8
15000,-1435352.8327383213,276693.7742008142,-1158659.058537507,298.3839419058832,1192.891664603576,49.6
20000,-1439537.0624663476,276148.07403729635,-1163388.9884290514,297.79546402502217,1169.656658821705,49.2
25000,-1442479.2536068438,276964.865729659,-1165514.387877185,298.67628443952935,1147.315894051116,48.8
30000,-1443349.7875625854,276131.74148070026,-1167218.0460818852,297.7778511508886,1132.9861496299025,48.4
35000,-1445367.928213939,275824.72907921777,-1169543.1991347214,297.4467718888671,1123.1876124334099,48
40000,-1450177.010340211,274693.2954269027,-1175483.7149133082,296.22664456884394,1108.900894254739,47.6
45000,-1448412.3386283647,276066.7268954026,-1172345.611732962,297.7077400387086,1101.6197518841157,47.3
50000,-1451867.4608462807,276633.3961986592,-1175234.0646476215,298.3188308409904,1095.8240640494341,47
55000,-1452244.6511661932,276142.37026206614,-1176102.280904127,297.78931312790905,1093.983626704653,46.8
60000,-1451718.549118653,275656.195985493,-1176062.35313316,297.2650273989796,1093.8483024816778,46.7
65000,-1453126.1476801261,277787.10029683314,-1175339.047383293,299.56297439861265,1092.1784747063346,46.6
70000,-1450648.7050727718,276379.2183617408,-1174269.4867110308,298.04472787230645,1091.1193077748903,46.5
75000,-1452766.181088169,276699.4260333817,-1176066.7550547873,298.39003678852146,1088.5053443659203,46.4
80000,-1455206.8608408505,276858.64909275516,-1178348.2117480952,298.5617414256618,1088.403923836609,46.3
85000,-1452505.5309521072,277036.6441064237,-1175468.8868456834,298.753689560279,1087.4841938931327,46.3
90000,-1451850.1264186902,276662.40520920896,-1175187.7212094814,298.35011388284283,1086.8001931849137,46.2
95000,-1455388.6513104038,277357.6024382615,-1178031.0488721423,299.0998079813309,1085.4594068593435,46.2
100000,-1455413.3511017915,275983.70136914216,-1179429.6497326493,297.618206098612,1085.9493196930703,46
