#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
3333,-2030991.2616381105,382047.8522860839,-1648943.4093520266,298.2348889870862,1521.791043792879,0
6666,-2031624.2666251156,381390.18669596605,-1650234.0799291497,297.72150087853964,1519.1296609446795,36.2
9999,-2030545.221831102,380641.3283190082,-1649903.8935120937,297.13692569094815,1520.4658080697277,36.6
13332,-2033722.1532056294,381806.59545361425,-1651915.557752015,298.04655863993617,1518.5226940823918,37.3
16665,-2032582.8631610237,382389.2083728231,-1650193.6547882007,298.5013589960774,1518.489919179071,37.3
19998,-2033385.3184946552,383291.61437565973,-1650093.7041189955,299.20579681052095,1522.0957512225993,37.3
23331,-2031968.7457201667,381009.4724333721,-1650959.2732867945,297.4243070187624,1517.5722022141458,37.4
26664,-2033473.4388449583,382310.1433972138,-1651163.2954477444,298.4396391510828,1520.2753604188258,37.5
29997,-2032223.878082456,380757.7223138788,-1651466.1557685772,297.22778538281995,1519.8937934535106,37.5
33330,-2035518.4867033176,380582.26650518633,-1654936.2201981312,297.0908207504724,1517.76852360801,37.5
36663,-2033446.7274133638,381780.5851973244,-1651666.1422160394,298.02625446638643,1520.1519846639853,37.5
39996,-2034073.1632399391,384419.30797150836,-1649653.855268431,300.0860990353782,1517.9749490660752,37.5
43329,-2034343.7883974183,382423.4097724302,-1651920.3786249883,298.52805735481434,1519.4387869288328,37.5
46662,-2030246.4571433906,381555.1325874962,-1648691.3245558944,297.85026124024574,1521.4469098626773,37.5
49995,-2027031.2155762166,381011.15203476016,-1646020.0635414564,297.4256181522514,1523.7605636372155,37.5
53328,-2029848.6043759529,383553.93795531814,-1646294.6664206348,299.4105723201593,1520.718993702226,37.6
56661,-2032457.1537716798,383527.52886692795,-1648929.6249047518,299.3899568095703,1522.7492392955687,37.6
59994,-2033729.7107120622,381541.54663368553,-1652188.1640783767,297.83965574828375,1521.7206411435172,37.6
63327,-2033827.7295105718,382982.885574389,-1650844.8439361828,298.96479637242624,1519.9170288951468,37.6
66660,-2032435.3566542063,381567.2908684178,-1650868.0657857885,297.85975225960163,1519.2718411124388,37.6
69993,-2031873.9552524667,380940.78710043855,-1650933.1681520282,297.37068974930287,1521.8390805134286,37.6
73326,-2033239.507762136,381067.059781129,-1652172.447981007,297.46926095885806,1519.0919884841167,37.6
76659,-2033081.0739728455,381051.4097158185,-1652029.664257027,297.4570441764247,1520.8803300996108,37.6
79992,-2031936.6989016626,381862.98063957266,-1650073.7182620899,298.09057414630325,1523.6060140436991,37.6
83325,-2034271.5363762733,382738.8897790994,-1651532.646597174,298.7743279311405,1517.2930685561057,37.5
86658,-2034088.5703471117,381427.30099143414,-1652661.2693556775,297.7504731073391,1521.0375067165473,37.6
89991,-2033789.3826827686,381647.4049202744,-1652141.9777624942,297.9222910364035,1518.877222471517,37.6
93324,-2031162.4466069061,380569.18104809703,-1650593.265558809,297.080605957171,1520.8219805974259,37.6
96657,-2034122.8386851922,382490.9074163515,-1651631.9312688406,298.5807474883181,1517.791607751911,37.6
99990,-2031268.522846369,382114.67993548274,-1649153.8429108863,298.2870561082478,1519.3240042373138,37.6
103323,-2032757.447322147,382634.79038190603,-1650122.6569402409,298.69306567045817,1520.5870340113993,37.6
106656,-2031800.9871909264,380584.5266516879,-1651216.4605392385,297.09258507014323,1521.4422011487911,37.6
109989,-2028971.9777088873,381085.63642894424,-1647886.341279943,297.48376229544664,1524.0337815215012,37.6
113322,-2031782.6805416904,381570.1072759213,-1650212.573265769,297.86195080874705,1520.550528514695,37.6
116655,-2033732.9172134232,381339.70435479016,-1652393.2128586331,297.6820932615977,1519.6531276039207,37.6
119988,-2031224.9290467557,382163.006620058,-1649061.9224266978,298.3247809726154,1519.6512775830868,37.6
123321,-2033263.8457669467,381166.574850476,-1652097.2709164708,297.54694459320297,1520.211692791343,37.6
126654,-2030768.2387520634,381082.01751257246,-1649686.221239491,297.4809372903696,1521.324434370241,37.6
129987,-2033418.8419483993,381687.19831808814,-1651731.6436303111,297.9533546309464,1519.6648946291589,37.6
133320,-2030993.4713293537,382127.53593976016,-1648865.9353895937,298.29709178567816,1522.9348790023153,37.6
136653,-2031836.8569975384,383867.24540178326,-1647969.611595755,299.6551469485893,1520.522909316657,37.6
139986,-2032030.0437280852,381319.57452889916,-1650710.4691991862,297.6663794803161,1521.2766509846795,37.6
143319,-2033991.0511237457,380935.3756585798,-1653055.6754651659,297.36646545972144,1520.8839081084404,37.6
146652,-2033938.6480377596,382786.853268895,-1651151.7947688645,298.8117692777389,1517.5874322390107,37.6
149985,-2031253.425854152,381256.48396813107,-1649996.941886021,297.6171296120752,1521.1384571130768,37.6
153318,-2034221.820361387,382703.9055548105,-1651517.9148065764,298.7470184823772,1518.1064452087967,37.6
156651,-2032684.6827177275,381424.7825948619,-1651259.9001228656,297.7485071920286,1522.7446954251916,37.6
159984,-2030298.0993446093,381843.41472882987,-1648454.6846157794,298.07530056948985,1519.3120497759116,37.6
163317,-2034088.5763954688,382122.5997247992,-1651965.9766706696,298.29323846858165,1519.940975603193,37.6
166650,-2032563.9506231472,381402.58012791775,-1651161.3704952295,297.7311754619202,1517.2285089472755,37.6
169983,-2032245.613364758,384574.8851145487,-1647670.7282502092,300.2075459476064,1518.0607316354315,37.6
173316,-2030599.6306778826,383388.554549386,-1647211.0761284966,299.2814704251655,1519.307153346328,37.6
176649,-2033955.3368675895,383034.59118342906,-1650920.7456841604,299.0051588989522,1520.6043239053072,37.6
179982,-2033207.5402411744,382378.8438426529,-1650828.6963985215,298.493268217694,1515.4245127939093,37.6
183315,-2033827.164211629,381665.6194662289,-1652161.5447454,297.9365097083792,1520.0054435753502,37.6
186648,-2031820.4784658384,382384.30345162924,-1649436.175014209,298.49753010757826,1519.0184565614559,37.6
189981,-2031320.8113974296,381212.9687456978,-1650107.8426517318,297.5831606800318,1518.4979995583021,37.6
193314,-2033453.7568375077,383222.9360554067,-1650230.820782101,299.15218501531274,1518.7407089084295,37.6
196647,-2030720.4274869952,380198.897539209,-1650521.5299477861,296.79155457131395,1518.4018325781717,37.6
199980,-2033851.0067186933,380561.5921070148,-1653289.4146116786,297.0746818641872,1519.0140432116539,37.6
203313,-2031774.248770371,380893.49585917254,-1650880.7529111984,297.3337731745737,1521.7146749295614,37.6
206646,-2032570.4366564378,381792.93066279497,-1650777.5059936428,298.0358916060852,1519.7282615995325,37.6
209979,-2033037.3085892797,382023.9575662078,-1651013.351023072,298.21623624741767,1522.0188871950497,37.6
213312,-2030593.8545349203,380720.5456357596,-1649873.3088991607,297.19876445676204,1521.6197184966286,37.6
216645,-2032927.038508905,382390.426835258,-1650536.611673647,298.5023101544385,1520.807590663709,37.6
219978,-2033833.8134645987,382269.13595373224,-1651564.6775108664,298.40762784600366,1518.8099457744026,37.6
223311,-2033103.8654985614,380833.680419512,-1652270.1850790493,297.2870799373257,1514.4417555182056,37.6
226644,-2033567.8911482561,381380.48979465227,-1652187.401353604,297.71393126580784,1521.9275316115943,37.7
229977,-2034542.160642298,383293.3969330601,-1651248.7637092378,299.20718831371937,1520.0060018634574,37.6
233310,-2034580.673356995,382899.86711868236,-1651680.8062383127,298.89999035461096,1518.9880133327142,37.7
236643,-2035877.3499979302,382911.13665369974,-1652966.2133442305,298.9087875995234,1516.8546788684134,37.7
239976,-2033922.3676162325,381567.9068866557,-1652354.4607295766,297.8602331368784,1518.02106625668,37.7
243309,-2032781.448859902,384286.49195878464,-1648494.9569011175,299.98241995807587,1519.4918571058565,37.7
246642,-2032830.7746587712,381493.25266288174,-1651337.5219958895,297.80195642099994,1518.8160059712786,37.7
249975,-2032834.2870766781,382735.50602000754,-1650098.7810566705,298.77168649496673,1521.003562210123,37.7
