#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
5000,-843488.8408753453,170428.92446522368,-673059.9164101216,298.5006169089818,775.7146878070961,0
10000,-850492.6650897292,169572.14305606944,-680920.5220336597,296.9999926458692,754.547573159685,84.8
15000,-851931.7936721137,169590.14753441134,-682341.6461377023,297.03152689340993,737.4577687961247,83.9
20000,-854303.0640039481,169637.62969634397,-684665.4343076041,297.11469032751324,727.1271893584982,83.3
25000,-856477.5043344628,169626.63877701544,-686850.8655574473,297.0954400963083,715.9963878033794,82.7
30000,-858402.8839694075,169961.8275119037,-688441.0564575038,297.682512064632,705.5262586468433,82.1
35000,-858064.0690742927,170733.65115400107,-687330.4179202917,299.03433561238904,698.0036371495178,81.7
40000,-858766.9942913996,169681.31654710707,-689085.6777442925,297.19120639979684,688.0426189715636,81.3
45000,-859453.2800504994,170497.92189303582,-688955.3581574636,298.6214636187271,680.9082733667352,80.9
50000,-861152.2678978462,170288.6281153424,-690863.6397825037,298.2548924985212,670.8101125225598,80.1
55000,-863071.3160498999,169832.508760434,-693238.8072894659,297.4560145542315,665.7068120146615,79.8
60000,-863540.0640296163,169864.7247403792,-693675.339289237,297.5124397761716,660.2035363957327,79.5
65000,-866401.8197281286,170151.71299100434,-696250.1067371243,298.01509019261965,658.8238508751087,79.3
70000,-866422.5189585648,170174.79523532343,-696247.7237232414,298.0555179791032,657.697550667477,79
75000,-866398.0840638392,169948.76049737696,-696449.3235664621,297.65962562144387,654.9574514486073,78.8
80000,-866936.1697461726,170531.80642605643,-696404.3633201162,298.6808112561194,655.3540137939876,78.5
85000,-866479.7533300603,169695.95598826947,-696783.7973417907,297.2168468961615,655.3426335260664,78.3
90000,-866128.326299794,170177.0961386289,-695951.2301611651,298.05954793504105,654.3810512029736,78.1
95000,-865950.7947998587,170369.6116222079,-695581.1831776508,298.39673242877166,655.8820368963742,77.9
100000,-864396.1200884907,172392.07362699945,-692004.0464614911,301.93900764995016,656.2470055196545,77.4
