#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
3333,-863111.6023197733,169127.95553514728,-693983.646784626,296.2220129136461,659.9565251681984,0
6666,-864987.3688660683,170436.59260788065,-694550.7762581876,298.5140474068907,657.1700296064189,102
9999,-864324.3486167537,170146.93699386274,-694177.411622891,298.0067251917984,657.5152628647961,105
13332,-864907.9778798642,170787.8583419365,-694120.1195379277,299.1292777068158,656.5396063560155,103
16665,-865299.7538719522,170728.57712791656,-694571.1767440357,299.02544862374447,657.3227209805233,102
19998,-864185.7270831596,171083.7254060594,-693102.0016771002,299.6474790710553,657.8747555200804,102
23331,-862930.8126158491,169820.9111986265,-693109.9014172226,297.43570180881557,661.3110163320164,103
26664,-865520.972699469,170221.94035958254,-695299.0323398864,298.13809110288344,658.3215786035947,103
29997,-863177.6526825521,170486.2265458309,-692691.4261367212,298.600979605426,659.2599305459161,103
33330,-863966.9708647188,170449.01497620795,-693517.9558885108,298.53580477361004,657.429991273009,103
36663,-864240.6330977464,171053.14859225816,-693187.4845054883,299.5939247943301,658.6431783929271,103
39996,-862971.1924670096,170533.34902260674,-692437.8434444029,298.6835130628893,659.2888961638007,103
43329,-864777.0717800781,171130.78869974214,-693646.2830803359,299.729908871291,658.8579707437219,103
46662,-864921.5648390921,170104.76939790457,-694816.7954411875,297.9328700439907,658.7213382079896,103
49995,-863466.4169959659,170353.9895517747,-693112.4274441912,298.3693708897821,657.3688679690795,103
53328,-864937.7824886227,170098.56273084658,-694839.2197577761,297.92199927219207,659.1731647457962,102
56661,-863743.7809409583,170345.50096188142,-693398.2799790769,298.35450340571043,659.0012380765627,102
59994,-865060.3408210156,169760.9426606463,-695299.3981603694,297.3306689005907,659.4407336920141,103
63327,-864691.0783749344,170699.75529634848,-693991.3230785859,298.9749681402789,656.3551140150919,102
66660,-864368.0816168869,170130.7799926232,-694237.3016242636,297.9784267392174,660.5813137882669,102
69993,-865502.3344727363,169481.84462347464,-696020.4898492617,296.8418379316971,656.2860022475676,102
73326,-864671.0263398336,170084.32130391634,-694586.7050359172,297.8970558845735,656.9431801438047,102
76659,-864481.5068541076,170550.29912002874,-693931.2077340789,298.71320059716794,659.1422603498918,102
79992,-864611.5794745004,170336.97964711822,-694274.5998273821,298.33957860511293,656.5598864708039,102
83325,-864615.5033893138,169865.34421016474,-694750.1591791491,297.51352475698536,658.7985797321741,102
86658,-864543.0196373332,169143.61726444366,-695399.4023728896,296.2494439138211,659.2093739131944,102
89991,-864054.3178645577,170962.63863174763,-693091.6792328102,299.43539959601895,655.4700233002192,102
93324,-866069.7281579552,169563.6465125156,-696506.0816454396,296.98511123122455,656.0957584091592,102
96657,-863626.2067666659,169425.35089042212,-694200.8558762438,296.7428910292239,658.0834176857378,102
99990,-866214.6158267222,170348.32030828606,-695866.2955184362,298.3594413975666,656.3499991704498,102
103323,-866173.8084091255,169857.93155790807,-696315.8768512175,297.50054174205115,656.7678176533443,101
106656,-863907.7578284824,169204.57555400688,-694703.1822744756,296.3562103391649,657.6647956515542,101
109989,-865545.036325586,171164.39689165298,-694380.6394339331,299.78877250638146,657.8323284500349,101
113322,-865249.6071412154,169527.6382044935,-695721.9689367218,296.92204387225263,659.7833107184557,101
116655,-865985.916250906,169185.45283280953,-696800.4634180964,296.32271752629697,657.3347231342211,101
119988,-863058.9688319918,169784.8878893896,-693274.0809426021,297.3726081757127,657.0878974291793,101
123321,-862856.0963649582,170162.61245297128,-692693.4839119869,298.0341802392847,658.2359030529758,101
126654,-865010.1008309852,169189.8477235618,-695820.2531074234,296.3304150318989,657.6863235516635,101
129987,-865414.6673023123,169141.19320764695,-696273.4740946654,296.24519825862194,657.6429296332415,101
133320,-865053.1138600102,169489.39374652423,-695563.7201134859,296.85505997070544,655.5318665609057,101
136653,-862769.9435357265,168706.76969016698,-694063.1738455596,295.484319855062,656.6809791884243,101
139986,-863703.3125741286,170603.86585729336,-693099.4467168353,298.80702096345533,657.4859400874149,101
143319,-864032.1037225714,171518.66671036603,-692513.4370122054,300.40926436109396,657.137876541748,101
146652,-863687.2501722062,169682.64701524284,-694004.6031569634,297.193536670674,657.2205120421165,101
149985,-863545.2821933497,170077.0362204735,-693468.2459728762,297.88429630219196,657.0107949109876,101
153318,-865771.8995725336,169328.92393371213,-696442.9756388215,296.57400240802946,657.5768127113391,101
156651,-864631.3917335123,169916.58267234277,-694714.8090611695,297.6032672265667,657.6464353635863,101
159984,-864033.4638333311,170707.94859554118,-693325.51523779,298.98931843246794,657.0885816347575,101
163317,-863948.9018342858,170121.90542837995,-693826.9964059058,297.9628832338546,657.4394499720462,101
